primaryTitle,tconst,directors,writers
To Kill a Mockingbird,tt0056592,nm0612322,"nm0497369,nm0285210"
What Ever Happened to Baby Jane?,tt0056687,nm0000736,"nm0268230,nm0375355"
The Exterminating Angel,tt0056732,nm0000320,"nm0000320,nm0017274"
8½,tt0056801,nm0000019,"nm0000019,nm0280919,nm0684083,nm0740021"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,tt0057012,nm0000040,"nm0000040,nm0816143,nm0313570"
The Leopard,tt0057091,nm0899581,"nm0223943,nm0147599,nm0275269,nm0575804,nm0290050,nm0899581"
The Great Escape,tt0057115,nm0836328,"nm0108595,nm0165412,nm0122446"
The Red Lanterns,tt0057229,nm0313745,nm0301613
The Big City,tt0057277,nm0006249,"nm0593954,nm0006249"
To Die in Madrid,tt0057327,nm0744364,"nm0152679,nm0744364"
Winter Light,tt0057358,nm0000005,nm0000005
"Of Whales, the Moon, and Men",tt0057423,"nm0674529,nm0105693","nm0105693,nm0674529"
High and Low,tt0057565,nm0000041,"nm0644823,nm0452878,nm0386750,nm0000041,nm0402805"
The Executioner,tt0057643,nm0305557,"nm0305557,nm0044156,nm0280919"
"Me, Grandma, Iliko and Ilarion",tt0057695,nm0002156,"nm0241510,nm0002156"
Memories of My Childhood,tt0057841,nm0098208,"nm0098208,nm0187135"
Charulata,tt0057935,nm0006249,"nm0007173,nm0006249"
Fail Safe,tt0058083,nm0001486,"nm0077159,nm0120969,nm0923838,nm0313570"
Hamlet,tt0058126,nm0468882,"nm0468882,nm0664985,nm0000636"
Destination Death,tt0058190,nm0823906,"nm0226698,nm0530690,nm0823906"
Yearning,tt0058349,nm0621540,"nm0559695,nm0621540"
Don't Cry Peter,tt0058394,nm0830150,"nm0383173,nm0462429,nm0722991,nm0830150"
Nothing But a Man,tt0058414,nm0736394,"nm0736394,nm0950001"
Forest of the Hanged,tt0058439,nm0162979,"nm0691489,nm0714384"
Soy Cuba,tt0058604,nm0435563,"nm0684006,nm0947877"
Woman in the Dunes,tt0058625,nm0856267,"nm0008356,nm0948870"
The T.A.M.I. Show,tt0058631,nm0004596,nm0765090
Red Beard,tt0058888,nm0000041,"nm0406836,nm0644823,nm0452878,nm0000041,nm0945491"
The Battle of Algiers,tt0058946,nm0690597,"nm0758357,nm0690597"
Guide,tt0059246,nm0025629,"nm0025629,nm0118406,nm0621255"
The Shop on Main Street,tt0059527,"nm0434443,nm0460033","nm0343309,nm0434443,nm0460033"
Triumph Over Violence,tt0059529,nm0739677,"nm0451406,nm0739677,nm0878014"
Operation 'Y' & Other Shurik's Adventures,tt0059550,nm0301145,"nm0301145,nm0467548,nm0806099"
A Patch of Blue,tt0059573,nm0337885,"nm0441088,nm0337885"
For a Few Dollars More,tt0059578,nm0001466,"nm0001466,nm0607694,nm0898812,nm0006872,nm0217258,nm0223964"
The Sound of Music,tt0059742,nm0936404,"nm0403346,nm0512231,nm0189496,nm0499626,nm0903125"
The Corporal and Others,tt0059812,nm0445454,nm0229732
Havoc in Heaven,tt0059855,"nm0481812,nm3213009","nm0481812,nm1314878,nm1063158"
"War and Peace, Part I: Andrei Bolkonsky",tt0059884,nm0094083,"nm0866243,nm0094083,nm0813537"
Andrei Rublev,tt0060107,nm0001789,"nm0464846,nm0001789"
Watch Out for the Automobile,tt0060161,nm0752922,"nm0103932,nm0752922"
"The Good, the Bad and the Ugly",tt0060196,nm0001466,"nm0898812,nm0001466,nm0408488,nm0769249"
"Kidnapping, Caucasian Style",tt0060584,nm0301145,"nm0301145,nm0467548,nm0806099"
