primaryTitle,startYear,averageRating,directors,genres,numVotes,originalTitle,runtimeMinutes,tconst,writers
Ikinci pärdä,2018,8.4,nm7665975,Drama,367,Ikinci pärdä,72,tt10197354,"nm7665975,nm4656984"
Chitra Nodir Pare,1998,8.0,nm0596311,Romance,209,Chitra Nodir Pare,110,tt1019897,nm0596311
Nodir Naam Modhumoti,1996,8.0,nm0596311,Drama,128,Nodir Naam Modhumoti,130,tt1019940,nm0596311
Shimana Periye,1977,8.2,nm2620986,"Adventure,Drama,Romance",175,Shimana Periye,117,tt1019962,\N
Pareeksha,2020,8.0,"nm0422552,nm13830427",Drama,4609,Pareeksha,120,tt10199974,"nm5627672,nm0422552"
Agent Sai Srinivasa Athreya,2019,8.3,nm10633987,"Comedy,Crime,Mystery",14533,Agent Sai Srinivasa Athreya,148,tt10214826,"nm10633987,nm5189611,nm10890193,nm12836495,nm12970562,nm13222819"
Pondicherry,2022,8.4,nm2590202,Drama,112,Pondicherry,113,tt10233388,"nm2590202,nm7662616"
A Chef's Voyage,2020,8.1,"nm4753345,nm1664088",Documentary,154,A Chef's Voyage,90,tt10245450,\N
Created Equal: Clarence Thomas in His Own Words,2020,8.1,nm1530434,"Biography,Documentary",1005,Created Equal: Clarence Thomas in His Own Words,116,tt10256238,nm1530434
True Justice: Bryan Stevenson's Fight for Equality,2019,8.3,"nm3716294,nm0475139,nm3835432",Documentary,329,True Justice: Bryan Stevenson's Fight for Equality,102,tt10260408,\N
Letting Go of God,2008,8.4,nm0842140,Documentary,669,Letting Go of God,130,tt1027091,nm0842140
The Father,2020,8.2,nm1725469,"Drama,Mystery",156182,The Father,97,tt10272386,"nm0358960,nm1725469"
Divaldo: O Mensageiro da Paz,2019,8.1,nm2936160,"Biography,Drama",381,Divaldo: O Mensageiro da Paz,119,tt10278930,"nm2936160,nm8036579"
Sardar Udham,2021,8.4,nm1999473,"Biography,Crime,Drama",42914,Sardar Udham,164,tt10280296,"nm2009626,nm1937760"
Hachi: A Dog's Tale,2009,8.1,nm0002120,"Biography,Drama,Family",287664,Hachi: A Dog's Tale,93,tt1028532,"nm2124742,nm0793881"
The War on Democracy,2007,8.2,"nm1313338,nm0683400,nm0189423",Documentary,2463,The War on Democracy,96,tt1029172,nm0683400
Shershaah,2021,8.4,nm3315387,"Action,Biography,Drama",122216,Shershaah,135,tt10295212,nm2196143
Kadaisi Vivasayi,2021,8.8,nm4359637,"Comedy,Drama",3643,Kadaisi Vivasayi,122,tt10300570,nm4359637
Tell No One,2019,8.3,nm1995152,Documentary,2991,Tylko nie mów nikomu,121,tt10312668,nm1995152
Article 15,2019,8.1,nm1025280,"Crime,Drama,Mystery",34326,Article 15,130,tt10324144,"nm1025280,nm3985391"
Last 6 Hours,2022,8.3,nm6837843,"Drama,Thriller",595,Last 6 Hours,120,tt10337582,"nm10696311,nm11720741"
Mozhi,2007,8.0,nm1701255,"Comedy,Romance",1884,Mozhi,155,tt1034053,"nm1701255,nm3586739,nm2661095"
Dare Not Walk Alone,2006,8.6,nm2656190,Documentary,115,Dare Not Walk Alone,83,tt1035731,\N
CODA,2021,8.0,nm1571761,"Comedy,Drama,Music",135104,CODA,111,tt10366460,"nm1571761,nm2605079,nm0141133,nm0489309,nm0081179"
Chinnada Gombe,2018,8.3,nm10710108,Horror,148,Chinnada Gombe,110,tt10368582,\N
Single Slipper Size - 7,2019,8.4,nm1011887,"Drama,Thriller",3321,Oththa Seruppu Size 7,120,tt10370116,nm1011887
The Dark Knight: The Ballad of the N Word,2018,8.8,nm10768814,"Action,Comedy,Crime",139,The Dark Knight: The Ballad of the N Word,129,tt10378660,\N
Adutha Chodyam,2019,8.9,nm10716125,Drama,600,Adutha Chodyam,112,tt10380266,"nm10716192,nm10716125"
Present Laughter,2019,8.7,nm0911334,Comedy,315,National Theatre Live: Present Laughter,180,tt10384504,nm0002021
A Midsummer Night's Dream,2019,8.4,"nm0405336,nm1098369","Comedy,Drama,Romance",547,A Midsummer Night's Dream,180,tt10384514,nm0000636
Borderless,2019,8.0,nm9250842,Documentary,885,Borderless,87,tt10384606,\N
The Union: The Business Behind Getting High,2007,8.2,nm1622441,Documentary,7789,The Union: The Business Behind Getting High,104,tt1039647,"nm1622441,nm1886635"
The Cure: Anniversary 1978-2018 Live in Hyde Park,2019,8.4,nm0691194,"Documentary,Music",248,The Cure: Anniversary 1978-2018 Live in Hyde Park,137,tt10407900,\N
Tiga Dara,1956,8.0,nm0411344,"Comedy,Drama,Musical",446,Tiga Dara,115,tt1042390,"nm8907761,nm0411344"
Miracle in Cell No. 7,2019,8.2,nm3133017,Drama,49767,Yedinci Kogustaki Mucize,132,tt10431500,"nm7807902,nm3374012"
Kinky Boots: The Musical,2019,8.1,"nm0593435,nm3614151",Musical,938,Kinky Boots: The Musical,135,tt10442108,nm0001213
Hellaro,2019,8.6,nm6390316,Drama,1455,Hellaro,121,tt10469118,"nm6761586,nm5030702,nm6390316"
Rush: Cinema Strangiato 2019,2019,8.8,nm1385433,Music,134,RUSH: Cinema Strangiato 2019,120,tt10471420,\N
Rascal Does Not Dream of a Dreaming Girl,2019,8.2,nm1637806,"Animation,Drama,Family",4980,Seishun Buta Yaro wa Yumemiru Shoujo no Yume wo Minai,89,tt10472884,"nm6201479,nm0948410"
Ratchasaan,2018,8.8,\N,"Crime,Thriller",117,Ratchasaan,\N,tt10474432,\N
Religion,2007,8.0,nm2683141,"Drama,History",1129,Dharm,105,tt1047459,"nm2689756,nm1258512"
Up,2009,8.3,"nm0230032,nm0677037","Adventure,Animation,Comedy",1046983,Up,96,tt1049413,"nm0230032,nm0677037,nm0565336"
Spec. Zverynas,2019,8.0,\N,Documentary,103,Spec. Zverynas,\N,tt10499510,\N
Father and Godfather,2007,8.2,nm0025576,Drama,108,Gjoleka djali i abazit,\N,tt1050710,nm0025576
The Blue Elephant 2,2019,8.1,nm1441566,"Crime,Drama,Horror",10165,The Blue Elephant 2,130,tt10515086,nm6211716
Heat Singers,2019,8.1,nm8569035,Documentary,271,Heat Singers,64,tt10526632,nm8569035
#Home,2021,8.8,nm6293294,Drama,13557,#Home,158,tt10534500,nm6293294
Russian death,2019,8.7,nm5954636,"Documentary,Horror",156,Russian death,60,tt10544422,nm5954636
Bring the Soul: The Movie,2019,8.3,nm10201503,"Documentary,Music",2427,Bring the Soul: The Movie,103,tt10545076,\N
Evaru,2019,8.1,nm10829550,"Crime,Drama,Mystery",6164,Evaru,118,tt10545484,"nm10829550,nm2493024"
O Barato de Iacanga,2019,8.0,nm10796215,"Biography,Documentary,History",419,O Barato de Iacanga,93,tt10549118,"nm7843028,nm10796215"
Dara of Jasenovac,2020,8.2,nm0031342,"Drama,War",81124,Dara iz Jasenovca,130,tt10554232,"nm3030564,nm0822278,nm7624687"
Hikaru Utada: Laughter in the Dark Tour 2018,2019,8.1,\N,"Documentary,Music",106,Hikaru Utada: Laughter in the Dark Tour 2018,141,tt10556746,\N
Andavaada,2019,8.8,nm10802228,Drama,115,Andavaada,\N,tt10560780,\N
Finding Jack Charlton,2020,8.0,"nm1578836,nm6085663","Documentary,Sport",894,Finding Jack Charlton,97,tt10607676,\N
Life Ain't Like the Movies,2021,8.2,nm4902781,Drama,409,Life Ain't Like the Movies,85,tt10627530,nm4902781
"Wife, i",2019,8.7,nm8172571,"Comedy,Romance,Thriller",873,"Wife, i",125,tt10681878,nm8172571
Mandela,2021,8.4,nm5325427,"Comedy,Drama",7303,Mandela,140,tt10687070,nm5325427
Making of the Wild Pear Tree,2019,8.5,nm0149196,Documentary,610,Making of The Wild Pear Tree,390,tt10688008,nm0149196
In the Name of God,2007,8.3,nm2716176,Drama,9438,Khuda Kay Liye,168,tt1068956,"nm2716176,nm3753777,nm3754269"
Departures,2008,8.0,nm0847690,Drama,52675,Okuribito,130,tt1069238,nm2725830
K.G.F: Chapter 2,2022,8.3,nm6073824,"Action,Crime,Drama",134401,K.G.F: Chapter 2,168,tt10698680,nm6073824
National Theatre Live: Fleabag,2019,8.3,"nm2300053,nm7861459",Comedy,2433,National Theatre Live: Fleabag,80,tt10702760,nm3564817
