primaryTitle,tconst,birthYear,deathYear,primaryName,primaryProfession
Woman in the Dunes,tt0058625,\N,\N,Keiji Mori,sound_department
The T.A.M.I. Show,tt0058631,\N,\N,Amanda Bluth,miscellaneous
Red Beard,tt0058888,\N,\N,Kyoko Kurisu,actress
The Battle of Algiers,tt0058946,\N,\N,Abdenour Essed,production_manager
The Shop on Main Street,tt0059527,1921,1981,Ladislav Grosman,writer
Triumph Over Violence,tt0059529,\N,\N,Ernst Genri,miscellaneous
Operation 'Y' & Other Shurik's Adventures,tt0059550,\N,\N,A. Egorov,
For a Few Dollars More,tt0059578,\N,\N,Diana Faenza,actress
The Sound of Music,tt0059742,\N,\N,Benyilem,music_department
Andrei Rublev,tt0060107,\N,\N,B. Matysik,actor
Watch Out for the Automobile,tt0060161,\N,\N,Eugenia Diordiychuk,art_department
"The Good, the Bad and the Ugly",tt0060196,\N,\N,Enzo Gioieni,music_department
"Kidnapping, Caucasian Style",tt0060584,\N,\N,N. Abakumov,set_decorator
Nayak: The Hero,tt0060742,\N,\N,Biren Das,actor
Cool Hand Luke,tt0061512,\N,\N,Cyril 'Chips' Robinson,actor
Samurai Rebellion,tt0061847,\N,\N,Emi Yamada,actress
When I Am Dead and Gone,tt0061855,\N,\N,Ante Terzic,sound_department
Le Samouraï,tt0062229,\N,\N,André Salgues,actor
Schwanensee,tt0062236,\N,\N,Gunther Runne,editor
"War and Peace, Part III: The Year 1812",tt0062455,\N,\N,D. Eisentals,actor
2001: A Space Odyssey,tt0062622,\N,\N,Adrian Haggard,miscellaneous
The Diamond Arm,tt0062759,\N,\N,A. Kasymov,
The Adventures of Goopy and Bagha,tt0063023,\N,\N,Bhaswati Chatterjee,actress
At War as at War,tt0063333,1923,2004,Boris Tabarovsky,actor
Padosan,tt0063404,\N,\N,N.K. Roy,assistant_director
Planet of the Apes,tt0063442,\N,\N,Bob Neilsen,camera_department
Rosemary's Baby,tt0063522,\N,\N,Al Jepson,actor
Shame,tt0063611,\N,\N,Arne Carlsson,art_department
The Cremator,tt0063633,\N,\N,Alfred Ruzicka,actor
War and Peace,tt0063794,\N,\N,A. Begak,actor
The Land,tt0064038,\N,\N,Hassan Fuad,writer
Army of Shadows,tt0064040,1911,1998,André Dewavrin,actor
Butch Cassidy and the Sundance Kid,tt0064115,\N,\N,Court Ernst,miscellaneous
