writers	primaryName	primaryProfession
nm0702600	Peyman Ghassemkhani	writer,actor,director
nm2505787	Vipin Bhati	sound_department,writer,actor
nm0315842	Bahman Ghobadi	director,writer,producer
nm1720336	Blessy	assistant_director,director,writer
nm1284379	Ferhan Sensoy	actor,writer,director
nm0695038	Marcos Prado	producer,director,cinematographer
nm0422568	Ajey Jhankar	writer,producer,composer
nm1994413	Ashok Patole	writer
nm0418659	Eugene Jarecki	director,producer,writer
nm1052952	Vera Mutafchieva	writer
nm1933528	Cookie 'Chainsaw' Randolph	director,writer,producer
nm0762779	Suraj Sanim	writer,music_department,actor
nm1475059	Filip Jan Rymsza	producer,director,writer
nm1863924	Rania Ajami	writer,director,producer
nm0175726	Steve Conrad	writer,director,producer
nm0784149	Sadik Sendil	writer,music_department,miscellaneous
nm0868219	Guillermo del Toro	writer,producer,director
nm1417119	Ameer Sultan	actor,writer,director
nm0598531	Mark Monroe	producer,writer,director
nm1156290	Jaideep Sahni	music_department,soundtrack,writer
nm0156828	Timothy A. Chey	producer,director,writer
nm1963021	Dermot Doyle	director,writer,composer
nm5043155	Mara Svire	writer
nm1894520	Trivikram Srinivas	writer,director,music_department
nm0020502	Eric Allen Bell	writer,producer,director
nm1463981	Çagan Irmak	director,writer,production_designer
nm0962722	Jesse Cowell	producer,editor,director
nm1333964	Lucía Gajá	director,writer,assistant_director
nm0014152	Humayun Ahmed	writer,director,music_department
nm2052804	Ethan Hunter	writer,producer,director
nm0200028	Mark Daniels	cinematographer,director,camera_department
nm0172648	Rocky Collins	producer,writer,director
nm2108003	Gregory Colbert	director,producer,writer
nm0542480	Aleksandar Manic	writer,producer,director
nm2157182	Jayantha Chandrasiri	writer,director,music_department
nm0430370	Kim Jorgensen	producer,writer,director
nm2146031	Rob McGann	director,writer,producer
nm0784149	Sadik Sendil	writer,music_department,miscellaneous
nm1604375	Will James Moore	producer,writer,editor
nm2252573	Robin Davey	editor,camera_department,director
nm2519099	Ryan McGee	writer
nm0700872	Puri Jagannadh	writer,director,producer
nm1050198	Mladen Maticevic	writer,director,assistant_director
nm0135952	Nae Caranfil	writer,director,actor
nm0443411	Tony Kaye	director,cinematographer,producer
nm1226606	Jameel Khan	director,writer,producer
nm2289322	Sekhar Kammula	writer,director,producer
nm1864956	Matija Klukovic	writer,costume_department,director
nm2394022	James Albert	writer,director
nm1699888	Jared Tweedie	editor,editorial_department,writer
nm1156290	Jaideep Sahni	music_department,soundtrack,writer
nm1552823	Arran de Moubray	director,writer,cinematographer
nm0645574	Steven Okazaki	director,producer,editor
nm2480587	Charles Ferguson	producer,director,writer
nm1164861	Seth Gordon	producer,director,miscellaneous
nm1239991	Jon Bowden	camera_department,actor,director
nm0962722	Jesse Cowell	producer,editor,director
nm2574672	James Henderson	miscellaneous,director,writer
nm0254178	Adam Elliot	director,writer,animation_department
nm0592795	Piyush Mishra	actor,music_department,writer
nm1244760	Amole Gupte	actor,writer,director
nm2315079	Ian Paterson	director,writer,producer
nm1098834	João Moreira Salles	director,producer,writer
nm10564794	Cengiz Özkarabekir	director,producer,writer
nm2619570	Shahidullah Kaiser	writer
nm3235413	Alejandro Montoya Marín	writer,director,producer
nm7515701	Ashton Gleckman	composer,writer,director
nm0596311	Tanvir Mokammel	writer,director,producer
nm0596311	Tanvir Mokammel	writer,director,producer
nm1530434	Michael Pack	producer,director,writer
nm0842140	Julia Sweeney	actress,producer,writer
nm0683400	John Pilger	writer,director,producer
nm2196143	Sandeep Shrivastava	writer,actor,music_department
nm4359637	M. Manikandan	writer,director,cinematographer
nm1995152	Tomasz Sekielski	director,writer,actor
nm1011887	Parthiban Radhakrishnan	actor,director,writer
nm0002021	Noël Coward	writer,soundtrack,actor
nm0000636	William Shakespeare	writer,soundtrack,miscellaneous
nm0001213	Harvey Fierstein	actor,writer,soundtrack
nm0025576	Dhimiter Anagnosti	director,writer,cinematographer
nm6211716	Ahmed Mourad	writer
nm8569035	Nadia Parfan	producer,director,writer
nm6293294	Rojin Thomas	director,writer,editorial_department
nm5954636	Sergey A.	writer,producer,cinematographer
nm4902781	Robert Mychal Patrick Butler	director,writer,producer
nm8172571	Gssp Kalyan	director,writer,cinematographer
nm5325427	Madonne Ashwin	director,writer,producer
nm0149196	Nuri Bilge Ceylan	producer,director,writer
nm2725830	Kundô Koyama	writer,producer
nm6073824	Prashanth Neel	writer,director
nm3564817	Phoebe Waller-Bridge	actress,producer,writer
nm7954541	Ian Washburn	writer,director,actor
nm5954636	Sergey A.	writer,producer,cinematographer
nm10887834	Shivraj	writer
nm2985912	Hideaki Sorachi	writer,animation_department
nm9829530	Digpal Lanjekar	writer,director,music_department
nm10909310	Gerardo Gabaldón	director,actor,writer
nm10926602	Ravishankar Venkateswaran	director,writer
nm6915712	Joji	actor,writer,director
nm0958276	Zubeen Garg	music_department,soundtrack,actor
nm9135703	Darling Krishna	actor,director,writer
nm3525879	Mahesh Narayanan	editor,writer,director
nm10973294	Beige Frequency	director,writer,editor
nm0225010	Lav Diaz	writer,director,editor
nm7197528	Burak Dogansoysal	director,writer,producer
nm10372788	Anup Thapa	director,writer,composer
nm10281577	Koyoharu Gotouge	
nm8593411	Roopa Rao	producer,director,writer
nm9288222	Paresh Vinodray Savani	producer,director,writer
nm1071389	Gregory Monro	director,writer,actor
nm1471595	Khashayar Alvand	writer,actor,assistant_director
nm11065997	Ashwath Marimuthu	director,writer
nm0542498	Mahesh Manjrekar	writer,producer,actor
nm6054966	Jagdeep Sidhu	writer,director,miscellaneous
nm11108345	K.S. Ashoka	director
nm9268416	Natalie Wynn	writer,director,editor
nm0814469	Sion Sono	director,writer,actor
nm11130491	Raakesh Baala	director,writer
nm1907554	Kaushik Ganguly	actor,director,writer
nm6579465	Sahana H.S.	director,writer
nm2513694	Yorgos Avgeropoulos	director,writer,producer
nm5824384	Pawan Wadeyar	writer,director,actor
nm1015055	Cheriyan Kalpakavadi	writer
nm5367447	Ardit Sadiku	director,writer,producer
nm2819123	Sachy	writer,director
